GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
503938916,SushiGo,3,GAME_OVER,97,0,4,61,rhea,51.0,40.0,32.0,35.0,mcts,Basic MCTS,rmhc,1,rhea,1,2,2,4,4,3,mcts,3,Basic MCTS,rmhc,mcts,rhea,rmhc,Basic MCTS,1
346665430,SushiGo,3,GAME_OVER,99,0,4,62,rhea,56.0,52.0,35.0,14.0,mcts,rmhc,Basic MCTS,1,rhea,1,2,2,3,3,4,mcts,4,rmhc,Basic MCTS,mcts,rhea,Basic MCTS,rmhc,1
879079583,SushiGo,3,GAME_OVER,97,0,4,63,rhea,42.0,37.0,33.0,13.0,mcts,rmhc,Basic MCTS,1,rhea,1,2,2,3,3,4,mcts,4,rmhc,Basic MCTS,mcts,rhea,Basic MCTS,rmhc,1
-619666105,SushiGo,3,GAME_OVER,97,0,4,64,rhea,73.0,38.0,26.0,27.0,mcts,rmhc,Basic MCTS,1,rhea,1,2,2,4,4,3,mcts,3,rmhc,Basic MCTS,mcts,rhea,Basic MCTS,rmhc,1
503938916,SushiGo,3,GAME_OVER,97,0,4,65,rhea,52.0,43.0,31.0,19.0,mcts,rmhc,Basic MCTS,1,rhea,1,2,2,3,3,4,mcts,4,rmhc,Basic MCTS,mcts,rhea,Basic MCTS,rmhc,1
346665430,SushiGo,3,GAME_OVER,97,0,4,66,rhea,22.0,43.0,42.0,36.0,rmhc,Basic MCTS,mcts,4,rhea,4,1,1,2,2,3,rmhc,3,Basic MCTS,mcts,rmhc,rhea,mcts,Basic MCTS,0
879079583,SushiGo,3,GAME_OVER,97,0,4,67,rhea,17.0,44.0,50.0,33.0,rmhc,Basic MCTS,mcts,4,rhea,4,2,2,1,1,3,rmhc,3,Basic MCTS,mcts,rmhc,rhea,mcts,Basic MCTS,3
-619666105,SushiGo,3,GAME_OVER,97,0,4,68,rhea,18.0,52.0,51.0,37.0,rmhc,Basic MCTS,mcts,4,rhea,4,1,1,2,2,3,rmhc,3,Basic MCTS,mcts,rmhc,rhea,mcts,Basic MCTS,0
503938916,SushiGo,3,GAME_OVER,98,0,4,69,rhea,18.0,46.0,57.0,31.0,rmhc,Basic MCTS,mcts,4,rhea,4,2,2,1,1,3,rmhc,3,Basic MCTS,mcts,rmhc,rhea,mcts,Basic MCTS,3
346665430,SushiGo,3,GAME_OVER,97,0,4,70,rhea,41.0,42.0,33.0,41.0,rmhc,mcts,Basic MCTS,3,rhea,3,1,1,4,4,2,rmhc,2,mcts,Basic MCTS,rmhc,rhea,Basic MCTS,mcts,0
