GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1960070630,TicTacToe,0,GAME_OVER,5,4,2,96,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
36358070,TicTacToe,0,GAME_OVER,5,4,2,97,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
375050126,TicTacToe,0,GAME_OVER,5,4,2,98,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1468478823,TicTacToe,0,GAME_OVER,6,5,2,99,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-218109356,TicTacToe,0,GAME_OVER,6,5,2,100,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-3023545,TicTacToe,0,GAME_OVER,5,4,2,101,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1504533260,TicTacToe,0,GAME_OVER,6,5,2,102,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
731461140,TicTacToe,0,GAME_OVER,5,4,2,103,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-784229007,TicTacToe,0,GAME_OVER,5,4,2,104,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1136489594,TicTacToe,0,GAME_OVER,5,4,2,105,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-362921133,TicTacToe,0,GAME_OVER,5,4,2,106,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
1364054475,TicTacToe,0,GAME_OVER,5,4,2,107,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
814423744,TicTacToe,0,GAME_OVER,6,5,2,108,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1075196489,TicTacToe,0,GAME_OVER,5,4,2,109,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1568387951,TicTacToe,0,GAME_OVER,6,5,2,110,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
-1781053528,TicTacToe,0,GAME_OVER,5,4,2,111,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-1606283071,TicTacToe,0,GAME_OVER,5,4,2,112,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
-543735179,TicTacToe,0,GAME_OVER,6,5,2,113,1,FirstAction,1,2,2,OSLA,FirstAction,1.0,-1.0,OSLA,OSLA,FirstAction,1
1674156088,TicTacToe,0,GAME_OVER,5,4,2,114,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
166348003,TicTacToe,0,GAME_OVER,5,4,2,115,2,FirstAction,2,1,1,OSLA,FirstAction,-1.0,1.0,OSLA,OSLA,FirstAction,0
