GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-432712488,SushiGo,3,GAME_OVER,61,0,2,71,Basic MCTS,36.0,53.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
491282519,SushiGo,3,GAME_OVER,61,0,2,72,Basic MCTS,38.0,47.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-884033504,SushiGo,3,GAME_OVER,62,0,2,73,Basic MCTS,51.0,50.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
991772015,SushiGo,3,GAME_OVER,62,0,2,74,Basic MCTS,40.0,45.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-835279488,SushiGo,3,GAME_OVER,60,0,2,75,Basic MCTS,36.0,64.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
288423849,SushiGo,3,GAME_OVER,60,0,2,76,Basic MCTS,44.0,48.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
306462715,SushiGo,3,GAME_OVER,63,0,2,77,Basic MCTS,39.0,52.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1595934290,SushiGo,3,GAME_OVER,61,0,2,78,Basic MCTS,49.0,56.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
372545689,SushiGo,3,GAME_OVER,61,0,2,79,Basic MCTS,34.0,47.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1791317608,SushiGo,3,GAME_OVER,62,0,2,80,Basic MCTS,50.0,44.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
594493312,SushiGo,3,GAME_OVER,64,0,2,81,Basic MCTS,34.0,43.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1375946348,SushiGo,3,GAME_OVER,60,0,2,82,Basic MCTS,36.0,42.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1004766817,SushiGo,3,GAME_OVER,60,0,2,83,Basic MCTS,51.0,58.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
714044006,SushiGo,3,GAME_OVER,60,0,2,84,Basic MCTS,45.0,51.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1418075335,SushiGo,3,GAME_OVER,61,0,2,85,Basic MCTS,44.0,68.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1141736524,SushiGo,3,GAME_OVER,62,0,2,86,Basic MCTS,34.0,69.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
443981092,SushiGo,3,GAME_OVER,62,0,2,87,Basic MCTS,32.0,49.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-68629972,SushiGo,3,GAME_OVER,61,0,2,88,Basic MCTS,53.0,65.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1822990971,SushiGo,3,GAME_OVER,60,0,2,89,Basic MCTS,44.0,44.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
268448290,SushiGo,3,GAME_OVER,61,0,2,90,Basic MCTS,41.0,64.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
