GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
503938916,SushiGo,3,GAME_OVER,81,0,3,87,mcts,43.0,49.0,57.0,Basic MCTS,rhea,3,mcts,3,2,2,1,Basic MCTS,1,rhea,Basic MCTS,mcts,rhea,2
-428737539,SushiGo,3,GAME_OVER,82,0,3,88,mcts,35.0,49.0,44.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
-1745970416,SushiGo,3,GAME_OVER,83,0,3,89,mcts,44.0,56.0,38.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
-1436161366,SushiGo,3,GAME_OVER,81,0,3,90,mcts,44.0,44.0,43.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
-1151041315,SushiGo,3,GAME_OVER,82,0,3,91,mcts,30.0,40.0,41.0,Basic MCTS,rhea,3,mcts,3,2,2,1,Basic MCTS,1,rhea,Basic MCTS,mcts,rhea,2
697067980,SushiGo,3,GAME_OVER,82,0,3,92,mcts,29.0,64.0,50.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
1168140970,SushiGo,3,GAME_OVER,83,0,3,93,mcts,40.0,45.0,34.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
-1491060889,SushiGo,3,GAME_OVER,81,0,3,94,mcts,36.0,55.0,39.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
-1819802610,SushiGo,3,GAME_OVER,81,0,3,95,mcts,36.0,58.0,41.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
-2121274456,SushiGo,3,GAME_OVER,84,0,3,96,mcts,37.0,39.0,59.0,Basic MCTS,rhea,3,mcts,3,2,2,1,Basic MCTS,1,rhea,Basic MCTS,mcts,rhea,2
259280696,SushiGo,3,GAME_OVER,82,0,3,97,mcts,34.0,40.0,32.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
1706137030,SushiGo,3,GAME_OVER,82,0,3,98,mcts,36.0,51.0,41.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
545138396,SushiGo,3,GAME_OVER,81,0,3,99,mcts,38.0,40.0,41.0,Basic MCTS,rhea,3,mcts,3,2,2,1,Basic MCTS,1,rhea,Basic MCTS,mcts,rhea,2
1376458976,SushiGo,3,GAME_OVER,81,0,3,100,mcts,32.0,46.0,44.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
1195311045,SushiGo,3,GAME_OVER,83,0,3,101,mcts,43.0,38.0,26.0,Basic MCTS,rhea,1,mcts,1,2,2,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,1
813477029,SushiGo,3,GAME_OVER,82,0,3,102,mcts,50.0,43.0,40.0,Basic MCTS,rhea,1,mcts,1,2,2,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,1
-1466178614,SushiGo,3,GAME_OVER,81,0,3,103,mcts,40.0,64.0,43.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
-118322159,SushiGo,3,GAME_OVER,83,0,3,104,mcts,48.0,55.0,34.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
-1428166355,SushiGo,3,GAME_OVER,84,0,3,105,mcts,38.0,53.0,40.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
1144294523,SushiGo,3,GAME_OVER,81,0,3,106,mcts,33.0,42.0,34.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
2100098225,SushiGo,3,GAME_OVER,82,0,3,107,mcts,37.0,48.0,37.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
23994827,SushiGo,3,GAME_OVER,82,0,3,108,mcts,37.0,52.0,45.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
1662792176,SushiGo,3,GAME_OVER,81,0,3,109,mcts,38.0,57.0,43.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
2013120665,SushiGo,3,GAME_OVER,83,0,3,110,mcts,43.0,59.0,43.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
-1880183632,SushiGo,3,GAME_OVER,83,0,3,111,mcts,45.0,56.0,41.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
-1377239692,SushiGo,3,GAME_OVER,82,0,3,112,mcts,33.0,54.0,47.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
1795532617,SushiGo,3,GAME_OVER,82,0,3,113,mcts,40.0,47.0,33.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
-1548656463,SushiGo,3,GAME_OVER,81,0,3,114,mcts,41.0,47.0,43.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
-653656736,SushiGo,3,GAME_OVER,81,0,3,115,mcts,40.0,47.0,39.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
-400394132,SushiGo,3,GAME_OVER,82,0,3,116,mcts,38.0,37.0,37.0,Basic MCTS,rhea,1,mcts,1,2,2,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,1
-1422203009,SushiGo,3,GAME_OVER,82,0,3,117,mcts,39.0,50.0,39.0,Basic MCTS,rhea,2,mcts,2,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
-1113178468,SushiGo,3,GAME_OVER,81,0,3,118,mcts,38.0,55.0,46.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
-175367348,SushiGo,3,GAME_OVER,81,0,3,119,mcts,42.0,56.0,43.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
1362911089,SushiGo,3,GAME_OVER,82,0,3,120,mcts,44.0,49.0,46.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
-347120262,SushiGo,3,GAME_OVER,82,0,3,121,mcts,40.0,40.0,33.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
1416514647,SushiGo,3,GAME_OVER,84,0,3,122,mcts,35.0,57.0,36.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
-1570736736,SushiGo,3,GAME_OVER,82,0,3,123,mcts,39.0,52.0,22.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
-1532681659,SushiGo,3,GAME_OVER,82,0,3,124,mcts,41.0,58.0,31.0,Basic MCTS,rhea,2,mcts,2,1,1,3,Basic MCTS,3,rhea,Basic MCTS,mcts,rhea,0
